smiles
[As ] [As +] (=O) [O-] C [C@]2(C) [C@@]1 (O) C(=O) C1 =C 2 [C@H](OC(C)=O) C [C@]2(C) C(=O) CC [C@@H]1 2) CC =C 2 C(=O) [C@@H]2CC CN 2 C(=O) [C@@H]( N )CC CNC(=N)N ) cc1 . [C@@H](C) C3 =C . CS(=O)(=O) O 4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] ) c1 F [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)O) [C@H]3 O[C@H]( CC CN1 CC1 ( c4ccc( Cl) c1 =O .Cl .Cl .Cl 1) [C@H]1 c1ccc( Cl) O [C@H]3 [C@@H](O) C [C@]2(C) C(=O) CO 1 .Cl .Cl .Cl .Cl .Cl .Cl CCN(C) CC4) cc [C@]2(C) [C@@H]( C(C)C) cs 1 C2) c2ccccc2 1 .Cl 1) [C@H]1 c1ccc( F) [C@H]1 c1ccc( F) c(- c1cccc( Cl) O 1 =C 2 [C@H](OC(C)=O) C [C@]2(C) C(=O) CO C( C [C@]2(C) C(=O)
OS(C)(=O) =O .Cl .Cl .Cl 6 [C@@H](O 3) CC4) c(OC) cc23) c(Cl) ccc( F)c1 Cl 2 C(=O) CO 1 .Cl )C=CCN6CC[C@] 43[C@@H]6 5) C2) C1 =O 5) C2) C1 CCC(=O)N [C@@H]( O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O [C@H]3 ( O 1 .Cl .Cl c4ccc( C(=O) CO 1 .Cl c2cc(C(F)(F)F) cc(C(F)(F)F) c1 =O .Cl c4 c( C2 CC 2) CC1 ( c6 ccc( F)c1 Cl c1 =O .Cl .Cl .Cl F c1 F) cccc3 nc2 1 . CS(=O)(=O) O [C@H]3 [C@@H](O) C C c4cccc C(=O)N ( c2ccc( Cl) O 1 I ] ) cn 1 . CS(=O)(=O) O 1 .Cl ) c1 F) cc c1 F c2ccccc2 1 C(C) n1 2 C(=O) CO 1 CCCC1 =O .Cl c2ccc( Cl) ncc( Cl) c1 Cl)
[C@@H](O) [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 =C . c4 ncc( Cl) cc n n2 C 3) n1 )N O 1 .Cl .Cl C#N) c1ccc( F) cc 6 F) c3ccccc3 c12 .O=C( O)CC (O)( CC(=O)O) CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 =C 2 (O) O 1 I ] (C) (C)C) cccc3 C 3) n1 2 CC OCC 3) C2 CC OCC 3) C2 CC OCC 3) C2 CC OCC 3) c2 )CC 1 =C 2 CC OCC 3) C2 =O) c1 =O .Cl c s2) C(C)C) cs 1 I ] (C) [C@H]3 [C@@H](C) C(=O) CO C( C [C@@H]3 [C@@H](C) C C(=O)O C2 CC OCC 3) C2 =O) c1 F) c(- c2cc c3 2 C(=O) CO
[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC )C=CCN6CC[C@] 43[C@@H]6 5) C2) C1 .O= S(=O) (O) O C2 =O) C(=O)N[C@@H](CC [C@@H](CC (N) (C) C[C@@] 2 1C 1 CCCC1 =O n1 2 C(=O) [C@@H]2CC CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) CC(=O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) (N) ( c2ccc( Cl) O 1 .Cl c6 ccc( F) cc1) c1cc c2c( c1 =O .Cl I ] ) c1 )NC(=O) OC .O=C( O)CC (O)( CC(=O)O) C(=O)O [C@H]1 c1ccc( F) cc1) c1cc c2c( c1 )NC(=O) OC c4cccc (F) (F) C(F)(F)F) c1 F Cl) c1 F) cc 6 ) c1cccc( Cl) O 1 3 C(=O)O =O) C(=O)N[C@@H](CC 1 .Cl c2cc(C(F)(F)F) cc(C(F)(F)F) c1 3) n1 2 [C@H](OC(C)=O) C [C@@H]2 C1 .O= S(=O) (O)
OS(C)(=O) =O .Cl 1) [C@H]1 O c3ccc( [C@@H]1 c1 =O .Cl c( C2 =O) CC1 (C) 6 ) ( c6 ccc( Cl) cc 6 Cl) O 1 OC(=O) C( CC(=O)O) C(=O)O ( c6 ccc( F) (=O) [O-] = CC(=O) C=C [C@] 4 CCOC [C@@H] 4C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl 6 ) c1 =O .Cl .Cl .Cl F c(C) =O)C 2 [C@H]1 c1cccc( Cl) O 1 =C . CS(=O)(=O) O 1 .Cl .Cl c4 cc3 4) cc3 4) c(Cl) cn 1 (C) [C@@]3 (F) [C@@H](O) [C@@H]2 C1 =O .Cl .Cl ( c6 ccc( F) [C@H]1 C(=O)O C2 =O) c1 F c2ccccc2 1 =C 2 F c1 =O .Cl = CC(=O) N(C) [C@@H]( C[C@H](O) CN 2 [C@H]1 C(=O)O C2 CC OCC 3) n1 2
.Cl.O. O. O 1 .Cl .Cl [C@@H]3 c4 ncc( Cl) c1 ) ( CC(=O)O) O 1 .Cl C[C@H]3 O 4) CC(=O) C [C@@H]3 [C@@H](OC) [C@@H]( C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) 2) c1 =O .Cl .Cl c3n c s2) n c(C) cccc c1 F) cc2 2 [C@H](OC(C)=O) C NC(=O) OC c4cccc (F) C2) [C@@H]1 C(=O)N ( c1ccc( F) c2c( c1 F) c2cn c s2) n c32) C1 =C( c2ccc(N) cc2) c1 F) c1 F) cc2 ncn c32) CC1 ( c2ccc( Cl) O 1 .Cl c4 c2 3 )CC 1 I ] (C) [C@@H]1 c1 c(C) c3ccc(O c4 c3n 1 I ] (C) [C@@H]( C(C)C) cs 1 CCC( [C@H]3 ( c2ccc( Cl) c1 F ccc( F)
/C=C\ n1 cn c(- c2cc(C(F)(F)F) cc(C(F)(F)F) c2) n1 )N N c1cn cc n1 2 [C@@] (C) (N) =O)C(=O)N[C@@H](C cccc n =O) [C@H](O) /C=C/ c1 Cl) O 1 =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) (N) ( c2ccc( Cl) c1 Cl) cn 1 I ] (C) CC(=O) N(C) [C@@H]( CC(C) C) OCO 3 )CC 1 I ] ) cc n1 2 [As ] ) nc2 )CC 1 =C 2 [C@H]1 C(=O)N[C@@H](CC (N) ( c6 ccc( F) cc1) c1cc c2c( c1 F) cc n1 2 C(=O) [C@@H]( C(C)C) C(=O)N C(=O) CO 1 I ] (C) (N) =O)C(=O)N[C@@H](C c2cc c s2) n c32) cc(C(F)(F)F) c1 F) cc 6
[As ] [As +] (=O) [O-] C C( CO)CO) c2 3) [C@H]3 O[C@H]( CC [C@@H]3O [C@H] 6 [C@H]5 O 4) CC(=O) C [C@@H]3 [C@@H](OC) [C@@H]( C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) c(Cl) O 1 .Cl c3ccc( O) s 1 . CS(=O)(=O) O 1 .Cl c3ccccc3) C(=O)O [C@@H]2 CO 1 .Cl 6 cn 1 CCC( [C@H]3 O[C@H]( CC n1 - c1ccc( F) cc 6 ) c1 Cl) O [C@H]3 O[C@H]( CC [C@@H]1 c1 F C(F)(F) F F 6 F) cc c1 c(Cl) cn 1 .Cl cc1) c1cc c2c( c1 Cl) c1 F Cl) O 1 N )CC 1 .Cl [C@@H]2O[C@]2(C)CCC[C@H](C) [C@@H]1 c1ccc( F) c3ccccc3) C(=O)O C2) c2ccccc2 1 .Cl c3ccccc3) C(=O)O C2 CC OCC n2 C
.Cl.O. O. O 1 .Cl .Cl [C@@H]2O 3 )CC 1 .Cl [C@@H](C) 3) cc2) CC1 CCC( [C@@H](O) C c4cccc (F) C2) c2ccccc2 Cl) c1 Cl) O 1 =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl C2) Br) C3 =O) c1 3) cc2) c1 F) cc1) c1cc c2c( c1 F) N )CC 1 .Cl .Cl .Cl I ] (C) (N) =O) C(=O)N[C@@H](CC (N) =O) c1 =O .Cl c3ccc( O) C [C@]2(C) CN 2 [C@H]1 C(=O)N[C@@H](CC cc 6 F) N )CC 1 ] (C) [C@@H]( CC(C) C) cc1) =N [C@@H]( C(C)C) cs c(C) cccc n 4) C(=O)N (C) [C@@H]( CC(C) C) C1 =O .Cl [C@H](NC(=O) [C@H](N) c3ccc( - c1ccc( F)
[C@@H](O) [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 =C )NC(=O) OC c2cn c( n2) cn 1 CC [C@@H]3O [C@H] 6 ) CC [C@@H]1 2) CC =C . CS(=O)(=O) O 1 . O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) CC(=O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl c2) cn 1 .Cl F Br) cnc1 N) c1 F) N [C@@H](C) c4 ncc( Br) c4 ncc( (C) (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@H]( [C@@H]1 c4) n c32) CC1 CC1 (C) CC(=O) N(C) [C@@H]( CCCC c1 =O .Cl 3) cc2) CC1 ( - c1ccc( F) [C@H]1 c s2) C(C)C) cs 1 CCCC1 =O .Cl Cc1cccc( [C@@H]3O [C@H] 6 Cl) O 1 .Cl 3 )CC 1 .Cl c4 cc( Cl) c1 F) C5 ) C(=O)O) [C@@]1
/ C(=O)O)C(C)(C) CC C1 CCCC C1 =O)C 2 =O =O .Cl .Cl .Cl c4 C(=O) C1 CCC(=O)N C1 =O .Cl 1) 3 )C(=O)N 1 N )C(=O)N C2 =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl c4 NC(=O)C 4 )CC 1 .Cl [C@@H]2O 3 )CC 1 .Cl Br C [C@]2(C) C(=O) CO C( C [C@@H]2 c2ccc( Cl) cn 1 I ] (C) CC(=O) N(C) [C@@H]( O 1 3 )CC 1 .Cl .Cl .Cl .Cl 4 (C) (C)C) cccc3 nc2 )CC 1 ( C [C@@H]2 C1 =O .Cl .Cl I ] (C) CC(=O) N(C) [C@@H]( C(C)C) C(=O) OCC 3) C2 =O) c1 O 1 .Cl OC .O=C( O)CC (O)( CC(=O)O)
OS(C)(=O) =O .Cl .Cl .Cl .Cl c12 .O=C( O)C [C@H](O) [C@@H](C) C(=O) C(C)(C)[C@@H](O) CC(=O)O 1 I ] ) ( C(=O)O C2 CC =C 2 C(=O) C(C)(C)[C@@H](O) CC(=O)O 1 . CS(=O)(=O) O 1 .Cl [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) (N) ( - 1 .Cl .Cl s2) NC(=O)C c3ccccn3) s2) c s2) C(C)C) c5 cccc 1C 1 .Cl ) c2cc [nH] 1 I ] (C) (N) ( c2ccc( Cl) c1 Cl) O C2 CC [C@H](O) C(=O)O C2 CC OCC 1 I ] (C) (C)C) cccc3 C [C@]2(C) [C@@]1 (O) C(=O) CO C( C [C@@H]3 c3 c(- c1cccc( Cl) c1 F) c2cn c s2) C(C)C) C(=O)O 4 3 )CC 1 .Cl c3ccc(
ncn2 c1 =O =O .Cl .Cl CC(=O)O) [C@@H]( [C@@H]2CC CN ) c(- c1cccc( Cl) c1 ) cc (=O) n2 C 4) c(N [C@H](C) OC(=O) [C@@H]( C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) c(Cl) O 1 .Cl .Cl CC(=O)O) CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4)c4ccccc4) C(C) O) C(=O) CO 1 I ] (C) (C)C) cccc3 nc2 1 I ] ) c1 F cs c(C) c3ccc(O c4 c2 1 .Cl .Cl c3cc n 5 )CC4) cc3) n 4) c(Cl) cn 1 .Cl .Cl .Cl .Cl ) [C@H]1 c1cccc( Cl) c1 =O .Cl 1) [C@H]1 c1 Cl) c1 F) N )CC 1 I ] (C) CC(=O) N(C) [C@@H]( C(C)C) C(=O)N 2 C(=O) CO C( CC(=O)O) O 1 .Cl c4 ncc( Br)
C1 CCC( N2 C(=O) c3ccccc3 C2 =O) C(=O)N 1 I ] (C) (N) ( c3 n2) cc1 .O=C( O)CC (O)( CC(=O)O) C(=O)O C2 =O) C(=O)O C2) C1 CCC(=O)N [C@@H]( CCC(=O)N [C@@H]( 1 I ] (C) [C@@H]( C(C)C) C(=O)N 1 OC(=O) [C@@H]( c5 c2cn c( c1 =O .Cl C(C)C) C(=O)N c4 [nH] 1 .Cl c s2) C(C)C) C(=O)N )CC 1 .Cl ) c1 F) c3ccccc3) ) ncn c(C) c3ccc(O 1 I ] (C) (N) ( CC(=O)O) c1cc( C(F)(F)F) cc(C(F)(F)F) c1 F) cc 6 ) c1 3) n1 2 CC OCC cc4 CC OCC 3) C2 CC OCC 3) n1 2 CCC( [C@H]3 CC c4 3 )CC 1 OC(=O) CCCC N1 CC c4 ncc( Br) F)c1 Cl [C@@H]( CC(C) C) C1 =O .Cl CCC [C@H](CO) NC(=O)[C@H](C c2cc n 5
OS(C)(=O) =O .Cl c3n c Cl) cc1) c1cc c2c( c1 ) c1 =O .Cl CC(=O)O) C(=O)O C2 CC c32) C1 =O .Cl c4 3 c2) cn 1 .Cl Cc1cccc( O 1 .Cl .Cl .Cl .Cl (=O) [O-] 4 )C(=O)N C2 C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) [C@H] 6 F) c(C) n1) c1ccc( F) [C@H]1 c1ccc( F) c2cn c s2) NC(=O)C C#N) c(Nc3ccc( OC c3n c2 )CC 1 . CS(=O)(=O) O 1 I ] ) c1 [nH] 1 .Cl ( c2ccc( Cl) c1 =O .Cl ) c1 F c2ccccc2 1 I ] (C) (N) ( c2ccc( Cl) O 1 . CO C( C [C@@H](C) C [C@]2(C) [C@@H]( CC(C) C) C(=O)O C2) c2ccccc2 1 . CS(=O)(=O) O [C@H]3 c4
OS(C)(=O) =O .Cl .Cl .Cl 4 (C) C(=O)N[C@@H](CCC(=O)O) C(=O)O) [C@H]3 O[C@H]( C1 =O c2ccccc2 1 (C) (C)C) cccc3 nc2 - 1 .Cl .Cl c4 c2) cn 1 .Cl c4 Cl) c1 F) [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) ) c1 =O .Cl .Cl c3cc C(=O)N (C) (N) .Cl .Cl c4 cc( Cl) c1 3) c2 3) C2 CC [C@@H]1 OC(=O) C( C [C@]2(C) [C@@]1 (O) O 1 .Cl .Cl 1 CC [C@@H]2O 3 )CC 1 CC ) c1ccc( F) cc(F)c5 1 C2) c2ccccc2 1 =C 2 [C@H]1 C(=O)O C2 CC c4 c2 )CC 1 [C@H]1 c1cccc( Cl) c1 Cl) O 1 =C . CS(=O)(=O) O 1 I ] (C) (N) ( c1ccc( F) cc c1 F) cc c1 F) Br) cc4 CC
C [C@]2(C) OC S [C@H](CO) O2) c(=O) n1 )N O 1 [N a +] (=O) [O-] 4 C c4cccc (F) c4) c3) c12 .O=C( N )C(=O)N C2 =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] ) c1 F C(F)(F) C(=O)N (C) [C@@H]( 1 I ] (C) (N) (C) c4ccccc34) n1 C C( CO)CO) c(=O) n1 2 [C@H](OC(C)=O) C [C@@H](C) C(=O) CO C) [O-] . CS(=O)(=O) O 1 I ] (C) CC(=O) N(C) [C@@H]( CC(C) C) C(=O)O C2 CC c4 C [C@@H]2 C1 =O .Cl 1) [C@H]1 c1ccc( F) C2) c2ccccc2 1 I ] (C) [C@@H]( C(C)C) c1 Cl) c1 F) cc n c(C) c3ccc(O c4 cc c3
OS(C)(=O) =O .Cl )NC(=O) [C@@H]2 C1 =O)C 2 =O .Cl .Cl [C@@H](C) [C@H](CO) (O) O 1 .Cl .Cl C [C@]2(C) (C) CC(=O) CN 2 C(=O) [C@@H]2CC CN 2 C(=O) [C@@H]( N )CC CNC(=N)N ) cc1 . [C@@H](C) C3 =C . CS(=O)(=O) O [C@H]3 c4 c1 =O .Cl .Cl 4 CCN( C 2CCCC 2) CC 2) C3 CC [C@@H]1 c1ccc( F) [C@@H]( C(C)C) cs c(C) c3ccc(O c4 c2ccc( Cl) O 1 =C 2 [C@H](OC(C)=O) C 3) cn 1 .Cl c4 cc c4 ncc( C O 1 =C . CS(=O)(=O) O [C@H]3 c5 cccc n c4) c3) c1 F C(F)(F) F =O) c3) c1 =O .Cl c2ccc( Cl) O 1 .Cl .Cl 4 )CC 1 .Cl c4 c3n cc( - 1 .Cl .Cl c6 ccc( F) [C@H]1 c1ccc( F)
OS(C)(=O) =O .Cl CO)CO) [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 .Cl c3ccc( 3) C2 .Cl Cl) c1 ) cc (=O) n2 C [C@@H](C) C [C@@H]3 [C@@H](OC) [C@@H]( C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) CC(=O) c1 =O .Cl .Cl c3ccccc3) c2ccccc2 1 I ] (C) (C)C) CC OCC 3) c2 )CC 1 .Cl .Cl [C@@H]2O 3 )CC 1 .Cl .Cl ) c1 =O .Cl .Cl F c(C) c2cn c s2) NC(=O)C NC(=O) [C@@H]2CC CN ) c1 F) c2c( c1 =O .Cl .Cl c4 c(- c2cc c s2) NC(=O)C c1cc( C(F)(F)F) c1 =O) C(=O)N[C@@H](CC (N) ( CC(=O)O) [C@@H]( O 1 .Cl C(C)C) n [nH] 1 .Cl c4 C n2 C(=O)N (C) (C)C) c2cn c s2) C(C)C) n [C@@H] 4
OC(=O)[C@]1( [C@@H](O)[C@@H]1C =CCCC1 )NC(=O) [C@@H]2 CCCl CCCl CCCl CCCl [C@@H]2 CCCl CCCl c5 c4 [nH] [nH] 1 =C =O) [C@H](O) CCCC CCC NC(=O)C C1 c2c( =S) c(C) cccc 1C 1 =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I =O) / C(=O)O)C(C)(C) CC OCC 1) [C@H]1 C(=O)N[C@@H](CC 1 ( CC(=O)O) C(=O)O [C@@H]2 C1 =O .Cl .Cl c3 cc(F) c(=O) n1 2 CCC( c(=O) n1 2 [C@H](OC(C)=O) C [C@@H]2 C1 =O n1 2 CC OCC c2ccc( Cl) ncn c(N [C@H](C) c5 cccc n )CC 1 .Cl .Cl n 3 3 )CC 1 =C . CS(=O)(=O) O 1 .Cl c3cc n 5 )CC4) c4ccccc3 4 (C) [C@@H]( C(C)C) c5 cccc 1C 1 .Cl c3ccc(
/C=C\ n1 cn c(- c2cc(C(F)(F)F) cc(C(F)(F)F) c2) n1 )N N c1cn cc n1 2 CC1 CCC( n1 CC1 (C) CN CC1 ( C(C) O) C(=O)N[C@@H](CCCNC(=N)N)C(=O)N [C@@H](CC (N) =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) CC(=O) N(C) [C@@H]( CC(C) C) c1cc c2c( c1 =O n1 2 c2c( c1 Cl) O 1 I ] (C) (N) =O) n1 2 CCCC1 =O .Cl F c1 F ccc( F) CCCC C1 =O .Cl .Cl F C(F)(F) F c s2) C(C)C) C(=O)N (C) (N) =O) c1 F) N )CC 1 .Cl c4 ncc( n1 2 =O .Cl c4 c2cc c s2) C(C)C) cs 1 .Cl CCN(C) CC4) cc 6 )
